epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,190.589,0.94677,0.9969,1,0.55965,0.00027151,0.00027151,0.00027151
2,383.372,0.4494,1,1,0.09564,0.000546275,0.000546275,0.000546275
3,574.191,0.11444,1,1,0.00887,0.000809723,0.000809723,0.000809723
4,767.604,0.06135,1,1,0.00198,0.00106185,0.00106185,0.00106185
5,957.351,0.02885,1,1,0.00031,0.00130266,0.00130266,0.00130266
6,1145.47,0.01928,1,1,7e-05,0.00128753,0.00128753,0.00128753
7,1337.23,0.03233,1,1,0.00049,0.00125923,0.00125923,0.00125923
8,1529.86,0.02877,1,1,0.00105,0.00123094,0.00123094,0.00123094
9,1722.76,0.02145,1,1,0.00016,0.00120265,0.00120265,0.00120265
10,1912.34,0.03234,1,1,0.00034,0.00117435,0.00117435,0.00117435
11,2103.91,0.02787,1,1,0.00018,0.00114606,0.00114606,0.00114606
12,2289.93,0.02963,1,1,0.0001,0.00111776,0.00111776,0.00111776
13,2477.8,0.00279,1,1,6e-05,0.00108947,0.00108947,0.00108947
14,2664.91,0.00856,1,1,3e-05,0.00106118,0.00106118,0.00106118
15,2854.66,0.00743,1,1,2e-05,0.00103288,0.00103288,0.00103288
16,3044.03,0.00637,1,1,1e-05,0.00100459,0.00100459,0.00100459
17,3234.99,0.03509,1,1,1e-05,0.000976293,0.000976293,0.000976293
18,3425.97,0.00731,1,1,2e-05,0.000947999,0.000947999,0.000947999
19,3619.31,0.01087,1,1,3e-05,0.000919704,0.000919704,0.000919704
20,3813.02,0.0122,1,1,3e-05,0.00089141,0.00089141,0.00089141
21,4004.93,0.00651,1,1,3e-05,0.000863116,0.000863116,0.000863116
22,4196.23,0.02272,1,1,2e-05,0.000834822,0.000834822,0.000834822
23,4390.62,0.00888,1,1,2e-05,0.000806528,0.000806528,0.000806528
24,4581.38,0.01084,1,1,3e-05,0.000778233,0.000778233,0.000778233
25,4770.65,0.00802,1,1,4e-05,0.000749939,0.000749939,0.000749939
26,4963.45,0.02213,1,1,3e-05,0.000721645,0.000721645,0.000721645
27,5155.49,0.02024,1,1,2e-05,0.000693351,0.000693351,0.000693351
28,5349.2,0.02271,1,1,1e-05,0.000665057,0.000665057,0.000665057
29,5539.4,0.01482,1,1,1e-05,0.000636762,0.000636762,0.000636762
30,5729.54,0.02129,1,1,1e-05,0.000608468,0.000608468,0.000608468
31,5920.72,0.01225,1,1,1e-05,0.000580174,0.000580174,0.000580174
32,6112.92,0.00525,1,1,1e-05,0.00055188,0.00055188,0.00055188
33,6305.91,0.01817,1,1,1e-05,0.000523586,0.000523586,0.000523586
34,6496.88,0.00697,1,1,1e-05,0.000495291,0.000495291,0.000495291
35,6688.63,0.00476,1,1,0,0.000466997,0.000466997,0.000466997
36,6881.14,0.00964,1,1,0,0.000438703,0.000438703,0.000438703
37,7073.6,0.00193,1,1,0,0.000410409,0.000410409,0.000410409
38,7267.19,0.01044,1,1,0,0.000382115,0.000382115,0.000382115
39,7459.43,0.01024,1,1,0,0.00035382,0.00035382,0.00035382
40,7651.14,0.01136,1,1,0,0.000325526,0.000325526,0.000325526
41,7843.09,0.00105,1,1,1e-05,0.000297232,0.000297232,0.000297232
42,8033.79,0.00656,1,1,0,0.000268938,0.000268938,0.000268938
43,8220.69,0.00152,1,1,0,0.000240644,0.000240644,0.000240644
44,8406.57,0.00581,1,1,0,0.000212349,0.000212349,0.000212349
45,8598.87,0.00176,1,1,1e-05,0.000184055,0.000184055,0.000184055
46,8791.88,0.00325,1,1,0,0.000155761,0.000155761,0.000155761
47,8985.31,0.00059,1,1,0,0.000127467,0.000127467,0.000127467
48,9176.36,0.01243,1,1,0,9.91726e-05,9.91726e-05,9.91726e-05
49,9370.04,0.00289,1,1,0,7.08784e-05,7.08784e-05,7.08784e-05
50,9563.42,0.0009,1,1,0,4.25842e-05,4.25842e-05,4.25842e-05
