epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,515.395,0.47678,1,1,0.06704,0.00051677,0.00051677,0.00051677
2,1027.6,0.06354,1,1,0.00096,0.000998225,0.000998225,0.000998225
3,1539.66,0.03941,1,1,0.00056,0.00142687,0.00142687,0.00142687
4,2051.11,0.02227,1,1,0.0041,0.00141945,0.00141945,0.00141945
5,2562.12,0.02061,1,1,0.00027,0.00133693,0.00133693,0.00133693
6,3072.33,0.00867,0.99804,1,0.00992,0.00125442,0.00125442,0.00125442
7,3582.74,0.0262,1,1,0.00019,0.0011719,0.0011719,0.0011719
8,4093.9,0.0136,1,1,2e-05,0.00108938,0.00108938,0.00108938
9,4604.39,0.0117,1,1,2e-05,0.00100687,0.00100687,0.00100687
10,5115.01,0.00841,1,1,0.0004,0.000924352,0.000924352,0.000924352
11,5625.92,0.00593,1,1,8e-05,0.000841835,0.000841835,0.000841835
12,6135.48,0.00719,1,1,0,0.000759318,0.000759318,0.000759318
13,6645.43,0.00334,1,1,3e-05,0.000676802,0.000676802,0.000676802
14,7156.19,0.00582,1,1,0,0.000594286,0.000594286,0.000594286
15,7666.85,0.00724,1,1,1e-05,0.000511769,0.000511769,0.000511769
16,8177.89,0.00254,1,1,0,0.000429253,0.000429253,0.000429253
17,8688.22,0.00226,1,1,0,0.000346736,0.000346736,0.000346736
18,9198.49,0.0021,1,1,0,0.00026422,0.00026422,0.00026422
19,9708.98,0.00228,1,1,0,0.000181703,0.000181703,0.000181703
20,10219.5,0.00061,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
